,Dates,Ratings,Titles,Bodys
0,2023-04-30,4,Stunning!!!,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:27Loaded: 44.34%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:27 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 I purchased this 8kg silver inox washing machine to match my Haier silver inox fridge freezer. It's nice and quiet and the Speed Perfect setting halves the time of the setting you choose. Make sure you remove and keep the four bolts from washer to ensure a smooth wash. The spin is a pleasure to the ears as my other machine was rocking and rolling. I've also noticed that the wash results are better and the items even look cleaner. I paid for it to be installed unfortunately there was a leak but I noticed it in time for the guys to come back and rectify error a couple of hours later. It's only been a day but so far so good, I am very pleased! If the performance changes u will update this review.. I have noticed that after a wash cycle there is a puddle of water left in the seal so I'm having to remove it to avoid any future mold."
1,2023-04-17,4,Short hoses,Machine is good but water inlet hose and drain hose are both short. I have another standard appliance sitting between the washing machine and the sink where the fresh water pipe and waste pipe are located. I could not connect the washing machine with the hoses that came with the machine and had to order a separate kit with 2 longer hoses from Bosch. £48 and 3-5 working days delivery.
2,2023-04-17,5,that it was as good as my previous bosh washing machine and it is,brill
3,2023-01-22,4,Would recommend buying this.,"This is the most expensive washing machine I’ve owned and can honestly say that it’s the first one that looks like the clothes have came out really clean, even on a short cycle.  My favourite modes are the short ones and I like the fact that you can stop the machine and add any forgotten garments. When you do stop the machine when it’s in action, there is a symbol which tells you if you are able to open the door or not. This saves wasting time wondering if the door will open to add to the wash."
4,2023-03-30,5,Excellent Product.,"Very good Machine ,price is excellent & very easy to install. would definitely recommend to others."
5,2023-01-27,4,Remove Transit Bolts,I read a few of the low rating reviews.They mention that the machine jumps around when on a spin cycle.I presume that they didn't read the owners manual to know about removing the 4 transit bolts at the rear of the machine.Only getting 4 stars though as I feel the quality isn't as good as they used to be.
6,2023-03-26,3,Transport Bolts Transport bolts transport bolts,YOU HAVE TO REMOVE FOUR VERY TIGHT and CERY LONG BOLTS FROM THE BACK OF THE MACHINE BEFORE YOU CAN USE IT!!!!There is a sticker that tells you this but if it wasn’t for reading through the reviews I probably wouldn’t have noticed it! The bolts screw into the tub to stop it moving around and the Suspension being damaged during transit. So if you have just installed it and its Going Brock wild then this is why!!!Stay safe kids :-)
7,2023-01-20,5,reasonably priced,"My old washer I had to retire or should I say it stopped working on Tuesday,  after 13yrs of faithful service I now have an all singing and dancing new Bosch washer arrived today Friday it looks good easy to use though I have only used it a couple of times does as its told and more it even has a night time setting! well worth the money and for a few more pounds they will install and take away your old one and the packaging well impressed with the service from this company thankyou for your speed of delivery and the delivery people were very courteous and considerate x"
8,2023-03-25,5,Bosch washing machine,Fair price easy to use alot quieter than old machine
9,2023-03-12,5,Highly Recommended,My wife has sight loss. We needed a machine that was reliable and easy to use. This machine fits the bill perfectly!
